timezone;offset;offsetDst;offsetInH;offsetDstInH
Africa/Abidjan;0;0;0;0
Africa/Accra;0;0;0;0
Africa/Addis_Ababa;10800;10800;3;3
Africa/Algiers;3600;3600;1;1
Africa/Asmara;10800;10800;3;3
Africa/Asmera;10800;10800;3;3
Africa/Bamako;0;0;0;0
Africa/Bangui;3600;3600;1;1
Africa/Banjul;0;0;0;0
Africa/Bissau;0;0;0;0
Africa/Blantyre;7200;7200;2;2
Africa/Brazzaville;3600;3600;1;1
Africa/Bujumbura;7200;7200;2;2
Africa/Cairo;7200;7200;2;2
Africa/Casablanca;0;3600;0;1
Africa/Ceuta;3600;7200;1;2
Africa/Conakry;0;0;0;0
Africa/Dakar;0;0;0;0
Africa/Dar_es_Salaam;10800;10800;3;3
Africa/Djibouti;10800;10800;3;3
Africa/Douala;3600;3600;1;1
Africa/El_Aaiun;0;3600;0;1
Africa/Freetown;0;0;0;0
Africa/Gaborone;7200;7200;2;2
Africa/Harare;7200;7200;2;2
Africa/Johannesburg;7200;7200;2;2
Africa/Juba;10800;10800;3;3
Africa/Kampala;10800;10800;3;3
Africa/Khartoum;10800;10800;3;3
Africa/Kigali;7200;7200;2;2
Africa/Kinshasa;3600;3600;1;1
Africa/Lagos;3600;3600;1;1
Africa/Libreville;3600;3600;1;1
Africa/Lome;0;0;0;0
Africa/Luanda;3600;3600;1;1
Africa/Lubumbashi;7200;7200;2;2
Africa/Lusaka;7200;7200;2;2
Africa/Malabo;3600;3600;1;1
Africa/Maputo;7200;7200;2;2
Africa/Maseru;7200;7200;2;2
Africa/Mbabane;7200;7200;2;2
Africa/Mogadishu;10800;10800;3;3
Africa/Monrovia;0;0;0;0
Africa/Nairobi;10800;10800;3;3
Africa/Ndjamena;3600;3600;1;1
Africa/Niamey;3600;3600;1;1
Africa/Nouakchott;0;0;0;0
Africa/Ouagadougou;0;0;0;0
Africa/Porto-Novo;3600;3600;1;1
Africa/Sao_Tome;0;0;0;0
Africa/Timbuktu;0;0;0;0
Africa/Tripoli;7200;7200;2;2
Africa/Tunis;3600;3600;1;1
Africa/Windhoek;3600;7200;1;2
America/Adak;-36000;-32400;-10;-9
America/Anchorage;-32400;-28800;-9;-8
America/Anguilla;-14400;-14400;-4;-4
America/Antigua;-14400;-14400;-4;-4
America/Araguaina;-10800;-10800;-3;-3
America/Argentina/Buenos_Aires;-10800;-10800;-3;-3
